id,name,description,created_at,updated_at,deleted_at
1,Prime NY Steak,,2020-11-11 03:54:09.581465+00,2020-11-11 03:54:09.581465+00,
2,Farro,,2020-11-11 03:54:09.581465+00,2020-11-11 03:54:09.581465+00,
3,Port Sauce,,2020-11-11 03:54:09.581465+00,2020-11-11 03:54:09.581465+00,
4,Baby Cauliflower,,2020-11-11 03:54:09.581465+00,2020-11-11 03:54:09.581465+00,
5,Parsnip Mousseline,,2020-11-11 03:54:09.581465+00,2020-11-11 03:54:09.581465+00,
6,Tuna,,2020-11-11 05:54:06.648808+00,2020-11-11 05:54:06.648808+00,
7,Radish,,2020-11-11 05:54:06.648808+00,2020-11-11 05:54:06.648808+00,
8,Wild Mustard,,2020-11-11 05:54:06.648808+00,2020-11-11 05:54:06.648808+00,
9,Purple Broccolini,,2020-11-11 05:54:06.648808+00,2020-11-11 05:54:06.648808+00,
10,Tatsoi Preserved Ginger Dressing,,2020-11-11 05:54:06.648808+00,2020-11-11 05:54:06.648808+00,
11,Arctic Char,,2020-11-11 06:04:41.04887+00,2020-11-11 06:04:41.04887+00,
12,White Asparagus,,2020-11-11 06:04:41.04887+00,2020-11-11 06:04:41.04887+00,
13,Chanterelle Mushroom,,2020-11-11 06:04:41.04887+00,2020-11-11 06:04:41.04887+00,
14,Sunchoke Mousse,,2020-11-11 06:04:41.04887+00,2020-11-11 06:04:41.04887+00,
15,White Truffle Dressing,,2020-11-23 21:38:28.79+00,2020-11-23 21:38:28.814002+00,
16,Manchego Cheese,,2020-11-23 21:38:28.79+00,2020-11-23 21:38:28.814002+00,
17,Celery Leaf,,2020-11-23 21:38:28.79+00,2020-11-23 21:38:28.814002+00,
18,Duck,,2020-11-23 22:13:11.736+00,2020-11-23 22:13:11.739414+00,
19,Anjou Pear,,2020-11-23 22:13:11.736+00,2020-11-23 22:13:11.739414+00,
20,Roasted Hazelnut,,2020-11-23 22:13:11.736+00,2020-11-23 22:13:11.739414+00,
21,Baby White Turnip,,2020-11-23 22:13:11.736+00,2020-11-23 22:13:11.739414+00,
22,White Port Aged Sherry Reduction,,2020-11-23 22:13:11.736+00,2020-11-23 22:13:11.739414+00,
23,Sea Scallop,,2020-11-23 22:43:17.373+00,2020-11-23 22:43:17.385881+00,
24,Broccolini,,2020-11-23 22:43:17.373+00,2020-11-23 22:43:17.385881+00,
25,Sunchoke Puree,,2020-11-23 22:43:17.373+00,2020-11-23 22:43:17.385881+00,
26,Black Garlic Vinaigrette,,2020-11-23 22:43:17.373+00,2020-11-23 22:43:17.385881+00,
27,Hamachi,,2020-11-24 00:28:35.17+00,2020-11-24 00:28:35.174784+00,
28,Thai Basil,,2020-11-24 00:28:35.17+00,2020-11-24 00:28:35.174784+00,
29,Preserved Ginger Sauce,,2020-11-24 00:28:35.17+00,2020-11-24 00:28:35.174784+00,
30,Avocado,,2020-11-24 00:28:35.17+00,2020-11-24 00:28:35.174784+00,
31,Lamb,,2020-11-30 02:28:17.799+00,2020-11-30 02:28:17.80637+00,
32,Rigatoni,,2020-11-30 02:28:17.799+00,2020-11-30 02:28:17.80637+00,
33,Shallot,,2020-11-30 02:28:17.799+00,2020-11-30 02:28:17.80637+00,
34,Parmesan Cheese,,2020-11-30 02:28:17.799+00,2020-11-30 02:28:17.80637+00,
35,Herbs,,2020-11-30 02:28:17.799+00,2020-11-30 02:28:17.80637+00,
64,Fuji Apple,,2021-01-10 20:36:40.792+00,2021-01-10 20:36:40.835304+00,
65,Creamy Farro,,2021-01-10 20:36:40.792+00,2021-01-10 20:36:40.835304+00,
66,Caramelized Shallot,,2021-01-10 20:36:40.792+00,2021-01-10 20:36:40.835304+00,
67,Truffle Jus,,2021-01-10 20:36:40.792+00,2021-01-10 20:36:40.835304+00,
68,Chicken,,2021-01-10 20:40:34.766+00,2021-01-10 20:40:34.777186+00,
69,Baby Radish,,2021-01-10 20:40:34.766+00,2021-01-10 20:40:34.777186+00,
70,Fingerling Potato,,2021-01-10 20:40:34.766+00,2021-01-10 20:40:34.777186+00,
71,Aleppo Pepper,,2021-01-10 20:44:59.871+00,2021-01-10 20:44:59.873275+00,
73,Salmon,,2021-01-10 20:51:49.064+00,2021-01-10 20:51:49.065942+00,
72,Green Papaya,,2021-01-10 20:44:59.871+00,2021-01-10 20:44:59.873275+00,
76,Spaghetti,,2021-01-10 21:02:42.56+00,2021-01-10 21:02:42.562137+00,
77,Chile Oil,,2021-01-10 21:02:42.56+00,2021-01-10 21:02:42.562137+00,
80,Baby Gem Lettuce,,2021-01-10 21:11:01.287+00,2021-01-10 21:11:01.289469+00,
81,Rice Wine Vinaigrette,,2021-01-10 21:11:01.287+00,2021-01-10 21:11:01.289469+00,
82,Cauliflower,,2021-01-10 21:12:49.313+00,2021-01-10 21:12:49.33394+00,
83,Black Garlic,,2021-01-10 21:12:49.313+00,2021-01-10 21:12:49.33394+00,
84,Toasted Almonds,,2021-01-10 21:12:49.313+00,2021-01-10 21:12:49.33394+00,
85,Oregano,,2021-01-10 21:12:49.313+00,2021-01-10 21:12:49.33394+00,
86,White Polenta,,2021-01-10 21:15:49.639+00,2021-01-10 21:15:49.640823+00,
87,Wild Mushrooms,,2021-01-10 21:15:49.639+00,2021-01-10 21:15:49.640823+00,
88,Mascarpone,,2021-01-10 21:15:49.639+00,2021-01-10 21:15:49.640823+00,
89,Spaccatelli,,2021-01-15 04:32:52.121405+00,2021-01-15 04:32:52.121405+00,
90,Hazelnut,,2021-01-15 04:32:52.121405+00,2021-01-15 04:32:52.121405+00,
91,Dover Sole,,2021-01-15 04:32:52.121405+00,2021-01-15 04:32:52.121405+00,
92,Garlic Chive,,2021-01-15 04:32:52.121405+00,2021-01-15 04:32:52.121405+00,
94,Fuji Apple Relish,,2021-01-15 04:40:04.187145+00,2021-01-15 04:40:04.187145+00,
95,Cilantro,,2021-02-13 01:58:26.39+00,2021-02-13 01:58:26.39158+00,
96,Mushroom,,2021-02-13 02:17:14.552+00,2021-02-13 02:17:14.553866+00,
97,Strawberries,,2021-02-13 02:19:41.031+00,2021-02-13 02:19:41.032737+00,
98,Clementines,,2021-02-13 02:20:03.462+00,2021-02-13 02:20:03.465981+00,
99,Citrus,,2021-02-13 02:20:35.68+00,2021-02-13 02:20:35.682251+00,
100,Cherry Tomatoes,,2021-02-13 02:34:58.901+00,2021-02-13 02:34:58.903579+00,
101,Roasted Pepper,,2021-02-13 02:34:58.901+00,2021-02-13 02:34:58.903579+00,
102,Spinach,,2021-02-13 02:34:58.901+00,2021-02-13 02:34:58.903579+00,
103,Yogurt,,2021-03-17 16:37:40.62377+00,2021-03-17 16:37:40.62377+00,
104,Blueberries,,2021-03-17 16:37:40.62377+00,2021-03-17 16:37:40.62377+00,
106,Organic Granola,,2021-03-17 16:37:40.62377+00,2021-03-17 16:37:40.62377+00,
105,Pistachios,,2021-03-17 16:37:40.62377+00,2021-03-17 16:37:40.62377+00,
107,Pastured Organic Chicken Thighs,,2021-04-30 19:38:55.253+00,2021-04-30 19:38:55.254262+00,
108,Apple Cider Vinegar,,2021-04-30 19:38:55.253+00,2021-04-30 19:38:55.254262+00,
109,Tomato Paste,,2021-04-30 19:38:55.253+00,2021-04-30 19:38:55.254262+00,
110,Cinnamon,,2021-04-30 19:38:55.253+00,2021-04-30 19:38:55.254262+00,
111,Ancho Chile,,2021-04-30 19:38:55.253+00,2021-04-30 19:38:55.254262+00,
112,Grass-fed Beef,,2021-04-30 19:49:17.971+00,2021-04-30 19:49:17.972761+00,
